"Authors","Title","Year","Journal","Volume","Issue","Page_Start","Page_End","Citations"
"Garg, S., Patra, K., Khetrapal, V., Pal, S. K. and Chakraborty, D.","Genetically evolved radial basis function network based prediction of drill flank wear","2010","Engineering Applications of Artificial Intelligence","23","-","1112","1120","0"
"Muthukumar P, Ramana SV","Heat and mass transfer studies in metal hydride reactor during desorption of hydrogen","2010","Internation Journal of Hydrogen Energy","35","-","811","818","3"
"B. Kawale and N. Sahoo","Heat transfer data analysis from thin film heat transfer gauge","2010","Journal of the Institute of Engineers (India)","91","-","14","18","0"
"Sanjib Banerjee, P.S. Robi, A. Srinivasan, Lakavath Praveen Kumar","High temperature deformation behavior of Al–Cu–Mg alloys micro-alloyed with Sn","2010","Material Science and Engineering","527","-","2498","2503","14"
"S. K. Singh, and R. Tiwari","Identification of a Multi-Crack in a Shaft System using Transverse Frequency Response Functions.","2010","Mechanism and Machine Theory","45","-","1813","1827","5"
"Roy T., Manikandan, P.,  and Chakraborty D.","Improved shell finite element for piezothermoelastic analysis of smart fiber reinforced composite structures","2010","Finite Elements in Analysis and Design","46","-","710","720","2"
"Reis J, Kanagaraj S, Fonseca A, Mathew MT, Silva FC, Potes J, Oliveira MSA, Simoes JAO","In vitro studies on multiwalled carbon nanotubes/ultrahigh molecular weight polyethylene nano composites","2010","Brazilian Journal of Medical and Biological Research ","43","-","476","482","0"
"R.  Das, S.C. Mishra and R. Uppaluri","Inverse analysis applied to retrieval of parameters and reconstruction of temperature field in a transient conduction-radiation heat transfer problem involving mixed boundary conditions","2010","Int. Communications in Heat and Mass Transfer","37","1","52","57","11"
"C. Subramanian and S. Senthilvelan","Joint Performance of Glass Fiber Reinforced Polypropylene Leaf spring","2010","Composite Structures","93","2","759","766","1"
"S. Jayavel, S. Tiwari, G. Biswas and M. Sen","Kinematics of a fluid particle due to interaction of fixed inviscid vortex filaments in presence of external translation and pulsation","2010","International Journal of Fluid Mechanics Research","37","-","127","148","0"
"S.C. Mishra, Ch. Hari Krishna and M.Y. Kim","Lattice Boltzmann method and modified discrete ordinate method applied to radiative transport in a spherical medium with and without conduction","2010","Numerical Heat Transfer, Part A","58","11","852","881","10"
"P. K. Barua, D. Deka, U.S. Dixit","Mathematical modeling of change of temperature in a pulsating heat pipe with multiple turns","2010","International Journal of Energy, Information and Communications","1","-","94","107","0"
"A. N. Reddy, N. Maheshwari,  D. K. Sahu and G. K. Ananthasuresh","Miniature compliant grippers with vision-based force sensing","2010","IEEE Transactions on Robotics","26","5","867","877","14"
"S. Sarkar, A. Dalal and G. Biswas","Mixed Convective Heat Transfer from Two Identical Square Cylinders in Cross Flow at Re=100","2010","International Journal of Heat and Mass Transfer","53","-","2628","2642","10"
"Samir K.Ghosh, Sukhomay Pal, Sujit K. Roy, Surjya K. Pal and Debabrata Basu","Modelling of the flame temperature of solution combination synthesis of a bio-ceramic material and its parametric optimization","2010","Bulletin of Materials Science, Springer","33","4","339","350","8"
"Manas Das, V.K. Jain, P.S Ghoshdastidar","Nano-finishing of stainless-steel tubes using R-MRAFF Process","2010","Machining Science and Technology an International Journal","14","3","365","389","3"
"D.K. Sarma and U.S. Dixit","Neural network modelling of forces   and indirect prediction of tool wear in turning of grey cast iron with ceramic tool","2010","International Journal of Machining and Machinability of Materials","8","1","55","75","1"
"B. Pratiher and S. K. Dwivedy","Nonlinear response of a soft magneto elastic cantilever beam with end mass under static and dynamics magnetic field","2010","Journal of Vibration and Control","17","9","1394","1406","2"
"Lakshmanan, S.P., Pandey, M. ","Numerical investigation of startup instabilities in parallel-channel natural circulation boiling systems","2010","Science and Technology of Nuclear Installations","2010","-","1","8","1"
"Lakshmanan, S.P., Pandey, M. ","Numerical investigations on power ramping procedure for a natural circulation boiling water reactor","2010","Nuclear Engineering and Design ","240","4","860","867","0"
"B. Kawale, R. K. Peetala, N. Sahoo and V. Kulkarni","Numerical methods to determine convecting heating rates on aerodynamic surfaces","2010","International Journal of Hypersonics","1","1","1","12","0"
"S.D. Kore, P.P. Date, S.V. Kulkarni","Numerical modeling of electromagnetic welding","2010","International Journal for Applied Electromagnetics and Mechanics","32","1","1","19","0"
"D. Chatterjee, G. Biswas and S. Amiroudine","Numerical simulation of flow past row of square cylinders for various separation ratios","2010","Computers and Fluids","39","-","49","59","13"
"R. K. Saxena, S. S. Gautam, and P. M. Dixit","Numerical Simulation of Fracture in Cup Drawing","2010","International Journal of  Material Forming","3","1","117","120","0"
"A. Banerjee, B. Bhattacharya, and A. K. Mallik","Optimum discrete location of a shape memory alloy wire for discrete actuation of a compliant link","2010","ASME Journal of Mechanical Design","132","-","1","7","5"
"H. Sarangi, K.S.R.K. Murthy and D. Chakraborty","Optimum strain gage location for evaluating stress intensity factors in single and double ended cracked configurations","2010","Engineering Fracture Mechanics","77","-","3190","3203","3"
"Manas Das, Ajay Sidpara, V.K. Jain, P.S. Ghoshdastidar","Parametric analysis of MR polishing fluid using statistical technique","2010","International Journal of Precision Technology","2","1","51","63","0"
"Durga Prasad, G.V., Pandey, M. ","Parametric effects on reactivity instabilities and nonlinear oscillations in a nuclear-coupled double channel natural circulation boiling system","2010","Nuclear Engineering and Design","240","5","1097","1110","3"
"S.K. Dwivedy, N. Mahendra, K.C.Sahu","Parametric instability of a soft and magneto rheological elastomer cored sandwich beam","2010","Journal of Sound and Vibration","325","4-5.","686","704","0"
"Kalita K, Khoo W. K. S., Garvey S. D., Hill-Cottingham R. J., Rodger D. and Eastham J. F.","Passive Contra-Magnetised Parallel-Airgap Serial Flux Magnetic Bearings","2010","Journal of Mechanical Engineering Science","224","11","2515","2524","0"
"Satheesh A, Muthukumar P","Performance investigation of a double-stage double-effect metal hydride heat pump","2010","Applied Thermal Engineering","30","17-18","2698","2707","5"
"Satheesh A, Muthukumar P","Performance investigations of a single-stage metal hydride heat pump","2010","Internation Journal of Hydrogen Energy","35","-","50","58","6"
"Sukhomay Pal, Surjya K. Pal and Arun K. Samantaray","Prediction of the quality of pulsed metal inert gas welding using statistical parameters of arc signals in artificial neural network","2010","International Journal of Computer Integrated Manufacturing","23","-","453","465","3"
"S. Bag and A. De","Probing reliability of transport phenomena based heat transfer and fluid flow analysis in autogeneous fusion welding process","2010","Metallurgical and Materials Transactions A","41A","9","2337","2347","3"
"H. Sarangi, K.S.R.K. Murthy and D. Chakraborty","Radial locations of strain gages for accurate measurement of mode I stress intensity factor","2010","Materials and Design","31","-","2840","2850","6"
"A Sakurai, S.C. Mishra and S. Maryuama","Radiation element method coupled with the lattice Boltzmann method applied to the analysis of a  transient conduction and radiation heat transfer problem with heat generation in a participating medium","2010","Numerical Heat Transfer, Part A","57","-","346","368","10"
"M. Ravi Sankar, V. K. Jain, J. Ramkumar, Kamal K. Kar","Rheological characterization and performance evaluation of a new medium developed for abrasive flow finishing","2010","International Journal of Precision Technology","1","3-4.","302","313","0"
"Mamilla Ravi Sankar, V.K. Jain and J. Ramkumar","Rotational abrasive flow finishing (R-AFF) process and its effects on finished surface topography","2010","International journal of machine tools and Manufacture","50","7","637","650","6"
"Satheesh A, Muthukumar P","Simulation of double-stage double-effect metal hydride heat pump","2010","Internation Journal of Hydrogen Energy","35","-","1474","1484","5"
"D. A. Perumal, A. K. Dass","Simulation of Incompressible Flows in Two-Sided Lid-Driven Square Cavities. Part I-FDM","2010","CFD Letters","2","-","13","24","6"
"D. A. Perumal, A. K. Dass","Simulation of Incompressible Flows in Two-Sided Lid-Driven Square Cavities. Part II-LBM","2010","CFD Letters","2","-","25","38","4"
"K. Siva Krishna, R. Ganesh Narayanan, G. Saravanakumar","Tailor welded blank forming limit computation by neural network based expert system","2010","International Journal: Computer and Experimental Simulations in Engineering and Science","1","8","16","44","0"
"G. Gandikota, S. Amiroudine, D. Chatterjee and G. Biswas","The Effect of Aiding/ Opposing Buoyancy on Two-Dimensional Laminar Flow Across a Circular Cylinder","2010","Numerical Heat Transfer, Part A","58","-","385","402","14"
"A.  Dewan, P. Patro, I. Khan, P. Mahanta","The effect of fin spacing and material on the performance of a heat sink with circular pin fins","2010","Part A: Journal of Power and Energy","224","1","35","46","2"
"Ponmozhi J, Goncalves FAMM, Ferreira AGM, Fonseca IMA, Kanagaraj S, Martins N, Oliveira MSA","Thermodynamic and transport properties of CNT- water based nanofluids","2010","Journal of Nano Research","11","-","101","106","6"
"B. Buragohain, P. Mahanta, V.S. Moholkar","Thermodynamic optimization of biomass gasification for decentralized power generation and Fischer-Tropsch synthesis ","2010","Energy","35","6","2557","2579","15"
"Joshi S. N. and Pande S. S. ","Thermo-physical modeling of die-sinking EDM process","2010","Journal of Manufacturing Processes ","12","1","45","56","17"
"S. Kapuria, P. Kumari","Three-dimensional piezoelasticity solution for dynamics of cross-ply cylindrical shells integrated with piezoelectric fiber reinforced composite actuators and sensors","2010","Composite Structures","92","10","2431","2444","6"
"Kanagaraj S, Mathew M.T, Fonseca A, Oliveira M.S.A, Simoes J.A.O, Rocha L.A","Tribological characterization of carbon nanotubes/ultrahigh molecular weight polyethylene composites: the effects of sliding distance","2010","International Journal of Surface Science and Engineering","4","-","305","321","0"
"C. Kim, M.Y. Kim, M.J. Yu and S.C. Mishra","Unstructured polygonal finite volume solutions of radiative heat transfer  in a complex axisymmetric enclosure","2010","Numerical Heat Transfer, Part B","57","3","227","239","12"
"S. Bag","A perspective review on laser assisted microjoining","2011","Recent Patents on Mechanical Engineering","4","2","153","167","1"
"Biswas Pankaj and Mandal N. R. ","A Study on Port Plug Distortion caused by Narrow Gap Combined GTAW & SMAW and Electron Beam Welding ","2011","Journal of Fusion Engineering and Design","86","-","99","105","1"
"Biswas Pankaj, D. Anil Kumar, Mandal N. R. and Mahapatra M. M. ","A Study on the Effect of Welding Sequence in Fabrication of Large Stiffened Plate Panels","2011","J. Marine. Sci. Appl.","10","-","429","436","0"
"P. Bernard, S. Bag, K. Huang and R. Logé","A two-site mean field model of discontinuous dynamic recrystallization","2011","Materials Science and Engineering A","528","24","7357","7367","5"
"Monikankana Sharma, Subhash C. Mishra,& P. Mahanta ","An experimental investigation on efficiency improvement of a conventional kerosene pressure stove","2011","International Journal of Energy for a Clean Environment","12","1","79","93","0"
"M. Chandrasekaran, M. Muralidhar and U.S. Dixit","An interactive online finish milling process optimization","2011","International Journal of Applied Engineering Research","6","5","949","959","0"
"R. Das, S.C. Mishra, T.B.P Kumar and R. Uppaluri","An inverse analysis for parameter estimation applied to a non-Fourier conduction-radiation problem","2011","Heat Transfer Engineering","32","-","455","466","4"
"S.C. Mishra, Ch. Hari Krishna and M.Y. Kim","Analysis of conduction and radiation heat transfer in a 2-D cylindrical medium using the modified discrete ordinate method and the lattice Boltzmann method","2011","Numerical Heat Transfer, Part A","60","-","254","287","10"
